Quote,Tags,Mood,Tone,Category,Usage Context,Character Count,Estimated Spoken Duration (s),Related Quotes,Related Bible Passage (KJV),KJV Reference
"Bigotry against someone for using drugs, what utter stupidity! But addiction is a worry.",General,Neutral,Reflective,General,Anytime Wisdom,88,6.6,"Try not to worry but strive for your identity; Life in fame is utter damnation to the wise, but if you are smart...; Spirit journeys don't need drugs; it is serendipity and want that leads you there",Young men likewise exhort to be sober minded.,Titus 2:6
Don't let anyone walk all over you and if altruist at heart resort to the philosophy of ethics,General,Neutral,Reflective,General,Anytime Wisdom,94,7.1,Don't mess with what you don't quite understand; Don't believe everything you read but don't mock just about everything either; Learn to ‘let go' when time mandates it so,"Be of the same mind one toward another. Mind not high things, but condescend to men of low estate. Be not wise in your own conceits.",Romans 12:16
Be happy for those that foster trouble free lives,General,Neutral,Reflective,General,Anytime Wisdom,49,3.7,"Be happy for others; In no cooperation, we as a species, cannot foster; Be respectful to other's religions provided they are free from genuine evil","But and if ye suffer for righteousness’ sake, happy are ye: and be not afraid of their terror, neither be troubled;",I Peter 3:14
"Fast food ought to be just that, fast",General,Neutral,Reflective,General,Anytime Wisdom,37,2.8,Keep in communication with your family because people change fast; We can appreciate food better if we know what we are eating; Senryu truly ought never be too short,"I fast twice in the week, I give tithes of all that I possess.",Luke 18:12
It may be realised that whatever is most dear is close by already,General,Neutral,Reflective,General,Anytime Wisdom,65,4.9,Everything you hold dear to heart is a construct of society; Holding dear to some celebrative days are a must for a sense of identity and integrity; Think deeply at the number of close friends you have and now realise how isolated you are within the context of the whole wide world,"And this I pray, that your love may abound yet more and more in knowledge and in all judgment;",Philippians 1:9
Prune and perfect friendships and don't simply discard,General,Neutral,Reflective,Human Nature,Anytime Wisdom,54,4.1,Good friendships cannot be bought; The most perfect individuals are often unknown; Don't mess with what you don't quite understand,A man that hath friends must shew himself friendly: and there is a friend that sticketh closer than a brother. ,Proverbs 18:24
Hesitating is a common nature in all as an act of self preservation,General,Neutral,Reflective,General,Anytime Wisdom,67,5.0,Sometimes you have to accept people for what they are as common human nature; Believe in the kindness and common sense of corporations that share; The representation of the self is aligned with the surroundings,"For if a man think himself to be something, when he is nothing, he deceiveth himself.",Galatians 6:3
Mental conditioning is a process best started young,General,Neutral,Reflective,General,Anytime Wisdom,51,3.8,Mental conditioning is best done by oneself with reason; Contemplate over the death of individuals and in the process rediscover yourself; Hypnosis is a silly thing to be paranoid about - but when young...,"Train up a child in the way he should go: and when he is old, he will not depart from it.",Proverbs 22:6
Stalkers ought to make an attempt to talk to their victims,General,Neutral,Reflective,General,Anytime Wisdom,58,4.4,"If someone younger than you disrespects you do attempt to regain their respect; Sure, there is talk about many known secret societies, but what of the unknown?; Senryu truly ought never be too short","And a stranger will they not follow, but will flee from him: for they know not the voice of strangers.",John 10:5
"No matter how boring your life is, well told it would be a masterpiece",General,Neutral,Reflective,General,Anytime Wisdom,70,5.3,There is no reason to lie with a truth well told; The presence of misery cannot be told by sight alone; Once someone told me to think laterally so I turned my head to the side,For I know not to give flattering titles; in so doing my maker would soon take me away. ,Job 32:22
If incapable to make a difference project your sheer spirit,General,Neutral,Reflective,General,Anytime Wisdom,59,4.4,"Destined are we, but it is up to you for what in spirit; Spread happiness everywhere you go and if incapable than at least do something nice; Skin colour makes no difference in heart","Go ye, get you straw where ye can find it: yet not ought of your work shall be diminished.",Exodus 5:11
At least once in your life you have to try a freshly made hot Croissant,General,Neutral,Reflective,General,Anytime Wisdom,71,5.3,Try not to worry but strive for your identity; If you seek something but cannot find then try asking instead; If current times are hard try something fun,"For my days are consumed like smoke, and my bones are burned as an hearth.",Psalms 102:3
"Life in fame is utter damnation to the wise, but if you are smart...",General,Neutral,Reflective,General,Anytime Wisdom,68,5.1,Truth is for the wise; Not many can handle fame well; A genuine philosopher is wise,"I wisdom dwell with prudence, and find out knowledge of witty inventions.",Proverbs 8:12
Once you survive rock bottom the world looks different,General,Neutral,Reflective,General,Anytime Wisdom,54,4.1,Life looks better when good deeds are done with no ill malice; What you do not understand about this world ‘may' be for your own safety; This world would not have happiness without entertainers,"And they shall go into the holes of the rocks, and into the caves of the earth, for fear of the Lord, and for the glory of his majesty, when he ariseth to shake terribly the earth.",Isaiah 2:19
"Every person has the right to treat their body as they want, but not uninformed in total",General,Neutral,Reflective,General,Anytime Wisdom,88,6.6,Do the right thing not for deity alone but because it is right; Art does not convey much about a person on lesse you know the person; Most people want to work - there are always jobs with a good government,And they lay wait for their own blood; they lurk privily for their own lives.,Proverbs 1:18
